,Name,dist_obj
71,119067,"['120132', '120178', '123509', '134860', '136472', '138537', '145452', '181708', '182294', '182397', '182926', '182934', '202421', '307616', '363401', '385191', '385199', '385362', '385363', '385447', '385533', '437871', '439858', '469705', '470443', '471921', '483002', '1994 EV3', '1995 WY2', '1998 KS65', '1998 WG24', '1999 CG154', '1999 CK158', '1999 CL119', '1999 CM153', '1999 HJ12', '1999 OD4', '1999 OJ4', '2000 CF105', '2000 CG105', '2000 CJ105', '2000 CO105', '2000 FC8', '2000 GY146', '2000 PN30', '2000 QC226', '2000 WL183', '2000 WN183', '2000 YE2', '2000 YF2', '2001 DD106', '2001 ES24', '2001 HZ58', '2001 QQ322', '2001 QS322', '2001 QX297', '2001 RZ143', '2001 UP18', '2002 CT154', '2002 PA171', '2002 PC171', '2002 VD131', '2003 FM127', '2003 GF55', '2003 HE57', '2003 KO20', '2003 QB112', '2003 QG91', '2003 QL91', '2003 QO91', '2003 TJ58', '2003 TL58', '2003 UB292', '2003 UY291', '2003 UZ291', '2003 WU188', '2003 YV179', '2004 ES95', '2004 HL79', '2004 LW31', '2004 PX117', '2004 VC131', '2005 BV49', '2005 BW49', '2005 EX297', '2005 GD187', '2005 JY185', '2006 HA123', '2006 JV58', '2007 CS79', '2007 DS101', '2007 RL314', '2007 RX326', '2010 AH2', '2010 FX86', '2010 KZ39', '2010 VQ11', '2011 JW31', '2011 UD412', '2011 UL412', '2012 CS57', '2012 XR157', '2013 EC138', '2013 EJ154', '2013 EM149', '2013 FB28', '2013 GB138', '2013 GC138', '2013 GG138', '2013 JJ64', '2013 JN65', '2013 JS65', '2013 JV65', '2013 SP99', '2013 UN15', '2013 UP15', '2013 XB26', '2014 CQ23', '2014 FP43', '2014 LO28', '2014 MA70', '2014 OE394', '2014 OM394', '2014 UP224', '2014 WD509', '2014 WN509', '2014 WV509', '2014 WW509', '2014 XR40', '2014 YB50', '2015 BV518', '2015 BZ518', '2015 FL345', '2015 PF312', '2015 RS245']"
72,119069,"['119979', '131318', '134568', '143991', '148112', '149349', '160256', '168700', '182926', '182934', '278361', '303712', '307616', '363401', '385191', '385201', '385266', '385445', '386723', '469306', '469361', '469420', '469421', '469509', '470027', '493480', '1998 HL151', '1998 HN151', '1998 UU43', '1998 WY31', '1999 CK158', '1999 OJ4', '1999 RY214', '2000 CF105', '2000 CL105', '2000 CN105', '2000 FG8', '2000 FT53', '2000 GX146', '2000 JF81', '2000 PG30', '2000 QN251', '2000 YA2', '2001 DB106', '2001 FL185', '2001 HA59', '2001 KA77', '2001 OZ108', '2001 QD298', '2001 QE298', '2001 QO297', '2001 RU143', '2001 RW143', '2001 XR254', '2002 CS154', '2002 CT154', '2002 CY154', '2002 CY248', '2002 CZ154', '2002 CZ224', '2002 GL32', '2002 GV32', '2002 GW32', '2002 PA171', '2002 PO149', '2002 VB131', '2002 VE130', '2002 VF131', '2002 XV93', '2003 HZ56', '2003 LD9', '2003 QA92', '2003 QJ91', '2003 QL91', '2003 QO91', '2003 QX111', '2003 QX90', '2003 SN317', '2003 WU188', '2003 YK179', '2003 YM179', '2003 YP179', '2003 YR179', '2003 YV179', '2004 EV95', '2004 FU148', '2004 FW164', '2004 HM79', '2004 HZ78', '2004 KE19', '2004 KF19', '2004 KG19', '2004 PB108', '2004 PW107', '2004 PX117', '2004 SC60', '2004 VZ75', '2005 CA79', '2005 CD81', '2005 EC318', '2005 EX297', '2005 JP179', '2005 LA54', '2005 RQ43', '2005 SE278', '2005 SF278', '2006 CH69', '2006 QF181', '2006 TO130', '2006 UO321', '2007 DS101', '2007 JF45', '2007 TD418', '2008 AQ118', '2008 SO266', '2010 TE192', '2010 TG192', '2010 TM182', '2010 VV224', '2011 UA411', '2011 UA412', '2011 UG412', '2011 UH412', '2011 UJ411', '2011 UK411', '2011 UK413', '2011 UY411', '2011 XJ4', '2012 BV154', '2012 DX98', '2012 DZ98', '2012 HG84', '2012 HL85', '2012 TC324', '2012 YO9', '2013 GH137', '2013 GL137', '2013 GQ136', '2013 HS156', '2013 HU156', '2013 JF65', '2013 JG64', '2013 JO65', '2013 JS64', '2013 JS65', '2013 JW63', '2013 JZ64', '2013 LY35', '2013 PW74', '2013 RD98', '2013 UN15', '2014 BX64', '2014 DD143', '2014 EA52', '2014 FY71', '2014 GJ54', '2014 HD200', '2014 HT199', '2014 JK80', '2014 JR80', '2014 KS101', '2014 LO28', '2014 LR28', '2014 MH70', '2014 MY69', '2014 MZ69', '2014 NB66', '2014 OH394', '2014 PN70', '2014 QU441', '2014 QY441', '2014 SH349', '2014 SN350', '2014 TD86', '2014 UP224', '2014 UQ224', '2014 UU224', '2014 WD509', '2014 WG510', '2014 WJ509', '2014 WN509', '2014 WO509', '2014 WO510', '2014 WQ510', '2014 WT509', '2014 WT69', '2014 WY509', '2015 AN281', '2015 BA519', '2015 FM345', '2015 OV79', '2016 BP81']"
73,119070,[]
74,119473,"['385363', '385445', '1998 HH151', '1999 RX215', '2002 GL32', '2002 GW32', '2002 PO149', '2003 HF57', '2004 FW164', '2004 HN79', '2005 CD81', '2005 CF81', '2005 TN74', '2006 JU58', '2006 QQ180', '2009 DN143', '2011 UN412', '2012 BY154', '2012 DB99', '2012 TC324', '2012 TD324', '2012 TF324', '2013 BN82', '2013 GL137', '2013 JO65', '2014 DO143', '2014 QY441', '2014 WQ510', '2015 BM518']"
75,119951,"['471196', '493480', '2000 QL251', '2001 DD106', '2003 LD9', '2004 KK19', '2005 CE81', '2005 JK186', '2011 UJ412', '2011 UX411', '2012 HL85', '2012 TF324', '2012 XR157', '2013 GV136', '2013 HV156', '2013 JM64', '2013 JO65', '2013 JS65', '2014 JS80', '2014 TA86', '2015 BU518']"
76,119956,[]
77,119979,[]
78,120132,[]
79,120178,[]
80,120347,['2012 XR157']
81,120348,"['2003 LD9', '2013 HV156', '2014 JS80', '2014 TA86', '2015 BU518']"
82,123509,"['1999 CL119', '2013 JJ64']"
83,126154,[]
84,126155,[]
85,126719,[]
86,127871,"['470308', '491767', '1998 HO151', '1999 OJ4', '1999 RX215', '2001 PK47', '2003 LD9', '2003 QN91', '2005 SF278', '2007 JF45', '2010 EL139', '2010 TA192', '2011 UA411', '2011 UJ412', '2011 UK412', '2011 UN412', '2011 UX411', '2012 UN177', '2013 GU136', '2013 JB65', '2014 JS80', '2014 YG50', '2015 BU518']"
87,129746,[]
